search_term	match_term	match_type	gene	drug	interaction_types	sources	pmids
BORTEZOMIB	BORTEZOMIB	Definite	PSMC2	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	GATA2	BORTEZOMIB	""	JAX-CKB|CIViC	22541434
BORTEZOMIB	BORTEZOMIB	Definite	PSMD4P1	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	PSMD11	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMB1	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|TdgClinicalTrial|ChemblInteractions|TEND	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMB3	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMD3	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMA7	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMD2	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|TdgClinicalTrial|ChemblInteractions|TEND	24524217
BORTEZOMIB	BORTEZOMIB	Definite	NFKB2	BORTEZOMIB	inhibitor	TALC|TTD	""
BORTEZOMIB	BORTEZOMIB	Definite	PSMA8	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMB10	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMC3IP	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	BDNF	BORTEZOMIB	""	NCI	15657181
BORTEZOMIB	BORTEZOMIB	Definite	PSMD14	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMD8	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	HSPB2	BORTEZOMIB	""	NCI	15004512
BORTEZOMIB	BORTEZOMIB	Definite	PSMA5	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMD13	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMC1	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMC1P1	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	PSMD10P2	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	PLG	BORTEZOMIB	""	DTC	20875739
BORTEZOMIB	BORTEZOMIB	Definite	PMAIP1	BORTEZOMIB	""	NCI	16024631
BORTEZOMIB	BORTEZOMIB	Definite	PSME3	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	PSMD9	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	PSMB5	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|TdgClinicalTrial|ChemblInteractions|TEND	24524217|23547757
BORTEZOMIB	BORTEZOMIB	Definite	PSMD10P3	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	RB1	BORTEZOMIB	""	JAX-CKB	28151717
BORTEZOMIB	BORTEZOMIB	Definite	PSMD6	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMA3	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMD12	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	ADRM1	BORTEZOMIB	inhibitor	DTC|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMC6	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	PSMC3	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
BORTEZOMIB	BORTEZOMIB	Definite	NOTCH1	BORTEZOMIB	""	JAX-CKB	28151717
BORTEZOMIB	BORTEZOMIB	Definite	PSMB2	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|TdgClinicalTrial|ChemblInteractions|TEND	24524217
BORTEZOMIB	BORTEZOMIB	Definite	KRAS	BORTEZOMIB	""	JAX-CKB	22541434
BORTEZOMIB	BORTEZOMIB	Definite	PSME2P2	BORTEZOMIB	inhibitor	MyCancerGenome	""
BORTEZOMIB	BORTEZOMIB	Definite	PSMA1	BORTEZOMIB	inhibitor	DTC|MyCancerGenome|ChemblInteractions	24524217
