,min,Q1,median,Q3,max,ori_mean,filtered_mean
KRT19,0.0,1.550900664647523,5.261094587350317,9.62186277899836,13.36755126021612,5.56079395936139,5.56079395936139
SPARC,0.0,1.2868445985346937,3.5698452496262503,8.305090269445358,14.30983158370548,4.777188174413522,4.777188174413522
C19orf33,0.0,0.8718436485093178,5.091622906812386,8.419043597142217,11.04719209079795,4.739015839655706,4.739015839655706
VIM,0.0,3.0780783828620097,7.9537313356832,10.411025443508503,13.27452375500668,7.017893418037907,7.017893418037907
UCHL1,0.0,1.1176950426697545,4.57167668240906,8.835173323275969,11.485577770903188,4.985424386412247,4.985424386412247
TGFBI,0.0,1.7980493952563867,5.590961117145774,8.56451546938002,12.935699145776692,5.386495650754803,5.386495650754803
KRT7,0.0,1.8237493603082728,3.87182210835313,9.22824740875229,12.832296678749884,5.196198627933902,5.196198627933902
FN1,0.1505596765753814,2.795421136169796,5.083638314662706,8.872367920202331,14.862298338630929,5.899823055645452,5.899823055645452
KRT8,0.0,3.829335484652423,8.332281125836342,10.445376556581094,13.53649007319916,7.386780811863549,7.386780811863549
FXYD3,0.0,0.5260688116675876,1.2957200323961806,7.122925549505659,11.289673111809131,3.50343296522657,3.50343296522657
S100P,0.0,1.0908534304511135,1.8816526669050377,6.8189707727638265,14.264369290689206,3.908136678203711,3.908136678203711
KRT18,0.0,4.682853429940891,8.431479281907798,10.194536180838977,13.57258181264548,7.467113529987889,7.467113529987889
CD74,0.01435529297707,1.0426443374084935,2.6858142781705787,6.341548045094188,13.078484417411447,3.923843861608325,3.923843861608325
SLPI,0.0,0.6959938131099002,2.364569712533841,6.748226370993062,12.574711776183287,3.7421249063513486,3.7421249063513486
EPCAM,0.0,0.963474123974886,4.595631292204004,8.08800638344955,10.958552715431011,4.592171568321223,4.592171568321223
TACSTD2,0.0,0.3673710656485294,0.8559896973084807,6.498793148349196,11.381597024198248,3.1049057872813255,3.1049057872813255
IFI27,0.0285691521967709,1.3826652609098025,2.408701627661876,6.931961256156707,12.716369352562175,4.037920834179187,4.037920834179187
S100A6,0.0,7.9213532411773055,10.927962701434915,12.32379290380911,14.81348059843735,9.752527356960547,9.876876451499498
LCN2,0.0,0.5728835419791338,1.3812594548372772,5.071030901663568,14.659159725191357,3.0598548439373827,2.9386520868882364
S100A14,0.0,0.5655971758542251,1.0214797274104517,6.489244655373854,11.214379839011288,3.1817185218689823,3.1817185218689823
COL1A2,0.0,0.2265085298086797,0.7398481026993274,2.146486111232289,13.652620934638165,1.939263473732364,0.9369551459584713
SPINT2,0.0426443374084937,2.457458922232431,7.277705261680468,8.790123982354908,12.362601387531123,6.014586587579969,6.014586587579969
SERPINE1,0.0,0.7398481026993274,2.436911519677908,5.9806232547311104,12.15646235027962,3.5374751668403186,3.5374751668403186
IGFBP3,0.0,1.351892203898853,4.213599843572576,7.181821583083798,13.674192268145683,4.539359010800645,4.539359010800645
KRT17,0.0,0.6484599266095576,1.4113854651333881,4.42339249027145,12.558205440985551,2.9989211631931663,2.4341158956799176
MT1E,0.0,0.4956951626240688,3.8328811332541735,6.987486823362729,10.694183743333149,3.873088121993551,3.873088121993551
CLDN4,0.0426443374084937,1.13255140347989,3.6056034642964496,7.787379088286276,10.276008054208337,4.385037292954056,4.385037292954056
CAV1,0.0,1.6507425165483849,6.046138543758969,8.157406015470313,12.33525076831281,5.272752257005768,5.272752257005768
IGFBP7,0.0285691521967709,0.7026524266197396,2.985471679974255,6.4758948400828436,11.520176670872374,3.762123707818883,3.762123707818883
CD24,0.0,2.1276219130372755,6.4643410794259974,8.154235845467964,11.270704129489983,5.547060694498196,5.547060694498196
HLA-DRA,0.0,0.5058909297299572,1.0,3.477675585852574,12.172458762532267,2.617960709515702,1.6157977977127131
TM4SF1,0.0,1.6993282418832942,6.455961309999688,7.865898281392987,11.906928165302688,5.353418540397605,5.353418540397605
MAL2,0.0,0.4956951626240688,3.207648636853805,6.968492182450006,10.237687990925362,3.7963180233049765,3.7963180233049765
SPP1,0.0,0.7718809304241241,1.59693317162429,4.499353626840694,13.071546159788424,3.0127993787966614,2.479876173495275
NNMT,0.0,0.3785116232537298,1.4005275795967072,6.255121680850915,10.586933588231089,3.0808048247599085,3.0808048247599085
SFN,0.0,0.8135203021613304,4.89237499742597,7.066409787895093,10.719046503929944,4.287096325931231,4.287096325931231
MGST1,0.0,3.345882456759425,7.146339534856594,8.27865112841593,11.459124193475594,5.932164578649962,5.932164578649962
EFEMP1,0.0,0.397795150128478,2.2234192423441175,6.218950589951754,10.451829277252436,3.322861240557419,3.322861240557419
SRGN,0.0,0.4646682670034443,1.6529706729327542,5.685099172006606,11.862792311110406,3.0662861425296604,3.0662861425296604
S100A16,0.0,2.15542270175303,7.207919722629926,8.230572767653648,11.16685350250875,5.740221134164391,5.740221134164391
ELF3,0.0,0.6780719051126377,3.7258511844470426,6.920888726911883,10.26620091249896,3.9143451574888473,3.9143451574888473
COL1A1,0.0285691521967709,1.3434057189779773,2.7322687910930137,4.371354422315284,13.108606128778014,3.4109091429601737,2.991538745069171
THBS1,0.0,1.532302359405398,4.330536838457288,6.596278604166159,11.505910773000194,4.3448796151177005,4.3448796151177005
THY1,0.0,0.1634987322828795,0.4222330006830478,3.0165803078078786,12.881534621648768,1.9686741132173775,1.2111362670722772
CLDN7,0.0,0.6229303509201767,2.6722651356673426,6.9172055659091845,9.354403672629404,3.7207618870076997,3.7207618870076997
RAB25,0.0,0.3219280948873623,0.6040713236688608,6.652699238948113,8.866228001034802,2.8998405600129913,2.8998405600129913
ANXA1,0.0,5.075628123779114,8.402414444992306,9.477948870318057,12.964503324303022,7.172421680826897,7.172421680826897
DKK1,0.0,0.6229303509201767,3.7933681126905237,6.588226007062814,10.957537396906602,3.8647554954781818,3.8647554954781818
MMP2,0.0,0.3334237337251918,1.192190711356118,4.410611332600412,10.391458420049668,2.5759980655083,2.564817149407382
IFITM1,0.0,2.032942618674486,4.787490106192681,7.513734114524307,11.971148339328526,4.951683496709726,4.951683496709726
TFPI2,0.0,0.5360529002402097,2.0565793600647506,5.500243251934391,12.47985603383773,3.1826198412861935,3.1826198412861935
CCN1,0.0,2.1585918186649753,5.58367817976271,7.760849577505215,11.74571633547666,5.130297513029492,5.130297513029492
GPX2,0.0,0.4646682670034443,0.7527422397557476,3.810311440567585,11.495005544996596,2.5068443357026635,1.6453953225927915
S100A2,0.0,1.8991756304805127,3.957914598632985,6.198804914458944,12.22993033953019,4.426646868654338,4.426646868654338
COL6A2,0.0,0.411426245726465,2.4499092557429822,5.4267676696247005,11.228518097716194,3.203282195025869,3.203282195025869
FSTL1,0.0,0.9597558048545034,4.141991898246322,6.579837845617604,10.958915156091347,4.066313891774268,4.066313891774268
LCP1,0.0,0.7886811696283432,2.4195388915137843,6.245291142205524,10.825515351183109,3.492283639831857,3.492283639831857
S100A4,0.4222330006830478,3.18863421953617,5.242217316611933,7.816470333223144,13.836346282386218,5.615239779164512,5.615239779164512
TINAGL1,0.0,0.4515335827582552,2.9087809324634306,6.256790606831263,10.061236165747747,3.5190052495384574,3.5190052495384574
LGALS1,1.3617683594191536,7.077498992209947,9.979709794937097,11.391202990128182,14.08787715877448,9.003036810701,9.003036810701
ARHGDIB,0.0,1.9087781893319744,4.550507477348626,7.20166998417596,11.165786350683955,4.759301613017613,4.759301613017613
ALDH1A1,0.0,0.5533542085725529,1.192190711356118,4.749033197244811,12.653360129244158,2.822920165789195,2.6087725621743005
BST2,0.0,1.6948789010622252,5.639150586804928,7.595220177927569,11.030942959790634,4.884714758147044,4.884714758147044
ALDH1A3,0.0,0.7803055049733232,3.1201743394033583,6.256206639698564,11.617329709350216,3.7076831323912693,3.7076831323912693
AKR1C2,0.0,0.765534746362977,1.8894722287938328,4.677356396559269,12.898147876096942,3.1381377476906307,2.8483483634482734
CDH1,0.0,0.38680301463547667,1.9634314394267838,6.493654857902017,8.93451650158608,3.281366324515441,3.281366324515441
MYL9,0.0,0.3895668117627256,2.2357270598380583,5.329033798345672,10.728345714710976,3.0641830649675175,3.0641830649675175
ANXA3,0.0,0.7718809304241241,4.344825701764793,6.795615771589865,9.962245344838246,3.997185219514164,3.997185219514164
