,min,Q1,median,Q3,max,ori_mean,filtered_mean
ABCB6,0.1890338243900171,3.3687663184791212,4.346956715191872,5.102763085172197,7.858913470679299,4.181960026386841,4.18767236716223
ABCC5,0.7136958148433591,3.8222200010981937,4.35332260053684,4.920292356949586,8.295723024539969,4.401509343213727,4.389618264744516
ABCF1,2.204766750654613,5.370687122241629,5.7820109929695445,6.162844436509118,7.631613618660978,5.732453905409981,5.761267166555559
ABCF3,2.9392265777282085,5.142413437873741,5.482364211344375,5.781884234541486,7.258236237330973,5.463421016069307,5.469245962656397
ABHD4,0.0,2.903508499397357,3.6775072508695956,4.405990436102305,7.053871592831748,3.653923528794642,3.6843897981155047
ABHD6,0.0285691521967709,1.810442003411778,2.451540833017832,3.069529558118929,7.928903239988973,2.479529617601901,2.4428075784630936
ABL1,1.298658315564515,4.124534528197752,4.699883767583742,5.197413289094326,6.64587455030903,4.67261985015513,4.677446690691025
ACAA1,2.4828482830684653,4.718361548051295,5.193180340269177,5.667182500685671,7.991181681408527,5.208018098575229,5.200813523806596
ACAT2,0.5058909297299572,5.24145872000693,5.896998261082471,6.514949345169016,8.853371940867389,5.83537987265589,5.881671174368912
ACBD3,1.7739963251111732,4.36387192485753,4.766860119499171,5.128664542346438,6.400025517914023,4.727996305230432,4.758244447409397
ACD,1.790772037862,4.431455787631402,4.850249336612109,5.300213792582513,6.913009056991898,4.841503260760716,4.848995965700271
ACLY,2.269033146455237,6.1569359642716295,6.654922327248007,7.07697586088827,8.920858975413568,6.58809966072851,6.610633741315526
ACOT9,0.1110313123887439,4.416501874197047,5.0537626006495975,5.588861160686717,7.711081862306696,4.88319804179738,5.057194805020145
ADAM10,2.327687364176047,5.904663634370989,6.382926517839115,6.958697659795869,9.251671759315029,6.361907407747457,6.391295056023932
ADAT1,1.722466024471091,3.780834715236589,4.199671864138148,4.597084150346477,6.2866963645614105,4.179202913551614,4.1825514378610915
ADGRE5,0.0285691521967709,3.816599706534912,5.007644030878014,5.744497124808791,7.649974651158105,4.5615821496447255,4.789898828584411
ADGRG1,0.0,2.111830299463757,5.065600584846326,6.462624955963926,9.541038519077476,4.445551899186375,4.445551899186375
ADH5,3.8063240573900288,6.144810713767263,6.590736736191554,7.003939157450209,8.315874125039256,6.561749220901318,6.582331984242193
ADI1,2.3868109464722167,4.896988012955259,5.426432022390557,5.907310476175847,10.298520857125949,5.370690452969514,5.385183960784527
ADO,1.3673710656485294,3.104336659814736,3.4535174289498065,3.8260398916700504,6.514280095632917,3.4773268574548664,3.4669040208284727
ADRB2,0.0,0.1634987322828795,1.0391341235696072,2.8409656516292308,6.5049381316496095,1.6704479527836493,1.6704479527836493
AGL,0.0285691521967709,2.3476656563009706,2.84197311892718,3.3063239990845936,8.389953933464724,2.858435676122663,2.851329514736189
AKAP8,2.27500704749987,3.9018322452366854,4.20945336562895,4.497771991095727,7.332707933640605,4.189304480336464,4.201181407624075
